state,pop,bank,ev,margin,c,Z,n_calls,w_design,se_pp,frac_pct,at_cap
FL,23462518,65635,30,2.3,0.631283645506926,0.1858513788864293,16106,1456.7563640879175,0.3939817972007317,24.538736954368854,False
CA,39355309,116672,54,29.65,0.0026584819887763,0.1540102938378109,13347,2948.625833520641,0.4327909533371478,11.439762753702688,False
PA,13059432,38934,19,0.95,0.8269591339433623,0.1456636448807251,12624,1034.4923954372623,0.4450117840680652,32.42410232701495,False
TX,31709821,88146,40,7.3,0.2322362747297588,0.1444156067319904,12516,2533.542745286034,0.446927653274113,14.19916955959431,False
MI,10127884,30028,15,1.515,0.7385990963704826,0.105129121402486,9111,1111.6105806168368,0.5238259158973845,30.3416810976422,False
NC,11197968,31621,16,2.5,0.6065306597126334,0.096213949100115,8338,1343.0040777164788,0.5475692595711931,26.368552544195317,False
GA,11302748,32118,16,2.67,0.5862552523672196,0.0939294002580888,8140,1388.5439803439804,0.5541888731518408,25.3440438383461,False
WI,5972787,17550,10,0.7,0.8693582353988059,0.0811451734487778,7032,849.3724402730376,0.5962529946881863,40.06837606837607,False
NY,20002427,58525,28,22.8,0.0104620589434267,0.0807737769392422,7000,2857.4895714285717,0.5976143046671968,11.96070055531824,False
AZ,7623818,21364,11,1.9,0.6838614092123558,0.0738573048018467,6401,1191.0354632088736,0.6249511775963009,29.961617674592773,False
OH,11900510,35475,17,8.05,0.1998876140751445,0.0586778799448104,5085,2340.316617502458,0.7011719365194521,14.334038054968287,False
IL,12719141,37543,19,17.05,0.0330412003758869,0.0551860137706015,4783,2659.239180430692,0.7229692300722028,12.740058066750128,False
MN,5830405,17082,10,4.3,0.4231620823177488,0.0483292386865592,4188,1392.1692932187202,0.7726212840192662,24.517035475939583,False
VA,8880107,25906,13,7.699999999999999,0.214381101426978,0.0470496853804517,4077,2178.0983566347804,0.7830683095582327,15.737666949741373,False
NJ,9548215,27900,14,15.0,0.0497870683678639,0.0433328743117853,3755,2542.8002663115844,0.8159527936007206,13.45878136200717,False
NV,3282188,9255,6,2.4,0.6187833918061408,0.0401638797337281,3481,942.8865268600975,0.847457627118644,37.61210156672069,False
WA,8001020,23135,12,17.45,0.0305008721712174,0.0379448916272153,3288,2433.4002433090022,0.8719751330189447,14.212232548087314,False
TN,7315076,20768,11,24.6,0.0072991308467885,0.0355113209957622,3078,2376.567901234568,0.9012301173931252,14.820878274268106,False
MA,7154084,20953,11,30.35,0.0023111732106021,0.0352233910286357,3053,2343.296429741238,0.9049125308576026,14.570705865508518,False
IN,6973333,20457,11,17.55,0.0298969144369263,0.0350245821847566,3035,2297.638550247117,0.9075919947834808,14.835997458082808,False
CO,6012561,17503,10,9.2,0.1588174261069207,0.0349945510695182,3033,1982.3808110781404,0.9078911845047388,17.328457978632233,False
MO,6270541,18147,10,17.0,0.033373269960326,0.0327830387582488,2841,2207.159802886308,0.9380681429944688,15.65548024466854,False
MD,6265347,18428,10,29.8,0.0025799119720271,0.0326502900633748,2830,2213.9035335689045,0.9398894754961404,15.357065335359236,False
SC,5570274,15658,9,13.0,0.0742735782143338,0.0310279672828179,2689,2071.5039047973223,0.9642165981750964,17.173329927193766,False
AL,5193088,15047,9,26.6,0.0048927537252394,0.029921817942707,2593,2002.733513305052,0.9819033595429244,17.232670964311822,False
LA,4618189,13673,8,19.1,0.0219278008942616,0.0281143034387713,2436,1895.80829228243,1.0130511230913848,17.816133986689096,False
KY,4606864,13461,8,27.85,0.003810480432592,0.0280593745504735,2432,1894.2697368421047,1.013883882067266,18.0670083946215,False
OR,4273586,12418,8,13.55,0.0665368067150168,0.0279772745556843,2425,1762.3035051546392,1.015346165133619,19.528104364631982,False
OK,4123288,11840,7,34.75,0.000958635153694,0.0264442939633956,2292,1798.9912739965096,1.044389982860892,19.35810810810811,False
IA,3238387,9578,6,8.8,0.1720448638230504,0.0260164620572766,2255,1436.091796008869,1.0529232878566532,23.543537272917103,False
CT,3688496,10725,7,16.85,0.0343896373434727,0.0259706910424455,2251,1638.6032874278098,1.05385838865184,20.988344988344988,False
UT,3538904,9958,6,19.3,0.0210679995230414,0.0248440394828134,2153,1643.7083139804924,1.0775761967598867,21.620807391042376,False
AR,3114791,8927,6,27.25,0.0042963046907523,0.0243299217564722,2109,1476.9042200094832,1.0887588907733554,23.6249579926067,False
KS,2977220,8767,6,17.5,0.0301973834223185,0.0242308125695251,2100,1417.7238095238097,1.0910894511799618,23.953461845557204,False
MS,2954160,8789,6,17.15,0.032386940772907,0.024214120113297,2098,1408.0838894184938,1.0916093889989311,23.870747525315736,False
NH,1415342,4118,4,3.9,0.4584060113052235,0.0265283889031956,2059,687.3929091792132,1.1018991068031498,50.0,True
ME,1414874,4196,4,6.0,0.3011942119122021,0.0237372147429311,2057,687.8337384540594,1.102434659256059,49.022878932316495,False
NM,2125498,6332,5,9.5,0.149568619222635,0.023464376786068,2033,1045.498278406296,1.108922805469306,32.106759317751106,False
